drug;hits;possible_hits;ndcg;recall;total_known_targets
D03450;0;0;nan;nan;0 
D03580;0;0;nan;nan;0 
D03742;4;10;0.506784;0.400000;10 
D03826;0;0;nan;nan;0 
D03830;2;2;0.919721;1.000000;2 
D03878;0;0;nan;nan;0 
D03991;5;10;0.507539;0.500000;10 
D04034;1;1;0.500000;1.000000;1 
D04048;0;0;nan;nan;0 
D04370;4;4;1.000000;1.000000;4 
D04790;0;0;nan;nan;0 
D04985;9;10;0.921602;0.642857;14 
D04999;1;1;1.000000;1.000000;1 
D05024;5;5;0.882613;1.000000;5 
D05077;6;6;1.000000;1.000000;6 
D05156;1;1;1.000000;1.000000;1 
D05453;0;5;0.000000;0.000000;5 
D05458;1;1;1.000000;1.000000;1 
D05461;0;0;nan;nan;0 
D06106;9;10;0.921602;0.600000;15 
D06172;6;6;1.000000;1.000000;6 
