drug;hits;possible_hits;ndcg;recall;total_known_targets
D01915;0;0;nan;nan;0 
D01918;0;0;nan;nan;0 
D01966;0;0;nan;nan;0 
D01968;0;0;nan;nan;0 
D01973;0;0;nan;nan;0 
D01974;0;0;nan;nan;0 
D01977;0;5;0.000000;0.000000;5 
D01981;0;0;nan;nan;0 
D01984;0;0;nan;nan;0 
D02008;0;0;nan;nan;0 
D02017;0;0;nan;nan;0 
D02042;0;0;nan;nan;0 
D02068;2;2;0.797723;1.000000;2 
D02110;6;10;0.722295;0.600000;10 
D02115;0;0;nan;nan;0 
D02166;0;0;nan;nan;0 
D02168;0;0;nan;nan;0 
D02173;1;1;1.000000;1.000000;1 
D02176;0;2;0.000000;0.000000;2 
D02193;0;2;0.000000;0.000000;2 
D02194;0;0;nan;nan;0 
D02214;0;0;nan;nan;0 
D02229;0;0;nan;nan;0 
D02258;0;0;nan;nan;0 
D02267;0;0;nan;nan;0 
D02289;0;0;nan;nan;0 
D02290;0;1;0.000000;0.000000;1 
D02304;0;0;nan;nan;0 
D02308;0;0;nan;nan;0 
D02315;0;0;nan;nan;0 
D02321;0;0;nan;nan;0 
D02323;1;1;0.386853;1.000000;1 
D02328;0;0;nan;nan;0 
D02333;0;0;nan;nan;0 
D02335;0;2;0.000000;0.000000;2 
D02341;1;10;0.220092;0.100000;10 
D02342;0;1;0.000000;0.000000;1 
D02350;0;0;nan;nan;0 
D02355;0;0;nan;nan;0 
D02356;0;10;0.000000;0.000000;13 
D02368;0;0;nan;nan;0 
D02375;0;0;nan;nan;0 
D02418;0;10;0.000000;0.000000;25 
D02441;10;10;1.000000;0.833333;12 
D02451;0;0;nan;nan;0 
D02487;0;0;nan;nan;0 
D02556;0;0;nan;nan;0 
D02558;1;1;1.000000;1.000000;1 
D02559;0;0;nan;nan;0 
D02560;0;0;nan;nan;0 
D02561;2;3;0.369268;0.666667;3 
D02562;0;0;nan;nan;0 
D02563;0;0;nan;nan;0 
D02564;0;1;0.000000;0.000000;1 
D02566;0;0;nan;nan;0 
D02579;0;0;nan;nan;0 
D02580;0;1;0.000000;0.000000;1 
D02581;0;0;nan;nan;0 
D02655;0;0;nan;nan;0 
D02671;0;0;nan;nan;0 
D02698;0;0;nan;nan;0 
D02709;0;1;0.000000;0.000000;1 
D02729;0;0;nan;nan;0 
D02731;0;0;nan;nan;0 
D02756;0;0;nan;nan;0 
D02769;0;2;0.000000;0.000000;2 
D02835;0;0;nan;nan;0 
D02880;0;0;nan;nan;0 
D03012;0;0;nan;nan;0 
D03034;0;0;nan;nan;0 
D03077;0;0;nan;nan;0 
D03115;0;0;nan;nan;0 
D03208;0;0;nan;nan;0 
D03217;0;0;nan;nan;0 
D03218;0;0;nan;nan;0 
D03252;0;2;0.000000;0.000000;2 
D03260;0;0;nan;nan;0 
D03350;0;0;nan;nan;0 
D03365;0;1;0.000000;0.000000;1 
D03433;0;0;nan;nan;0 
D03440;0;0;nan;nan;0 
D03601;0;0;nan;nan;0 
D03643;0;0;nan;nan;0 
D03670;1;10;0.085143;0.100000;10 
D03689;0;0;nan;nan;0 
D03710;0;0;nan;nan;0 
D03712;0;0;nan;nan;0 
D03714;0;0;nan;nan;0 
D03716;0;0;nan;nan;0 
D03717;0;0;nan;nan;0 
D03720;0;0;nan;nan;0 
D03722;0;0;nan;nan;0 
D03728;0;0;nan;nan;0 
D03731;0;0;nan;nan;0 
D03733;0;0;nan;nan;0 
D03734;0;0;nan;nan;0 
D03735;0;0;nan;nan;0 
D03736;0;0;nan;nan;0 
D03738;0;0;nan;nan;0 
D03741;0;0;nan;nan;0 
D03743;0;0;nan;nan;0 
D03745;0;0;nan;nan;0 
D03751;0;0;nan;nan;0 
D03752;0;0;nan;nan;0 
D03753;0;0;nan;nan;0 
D03756;0;0;nan;nan;0 
D03758;0;0;nan;nan;0 
D03760;0;0;nan;nan;0 
D03763;0;0;nan;nan;0 
D03765;0;0;nan;nan;0 
D03767;0;0;nan;nan;0 
D03769;0;0;nan;nan;0 
D03772;0;0;nan;nan;0 
D03773;0;0;nan;nan;0 
D03775;0;0;nan;nan;0 
D03776;0;0;nan;nan;0 
D03778;0;0;nan;nan;0 
D03781;0;0;nan;nan;0 
D03784;0;0;nan;nan;0 
D03787;0;0;nan;nan;0 
D03788;0;0;nan;nan;0 
D03798;0;0;nan;nan;0 
D03803;0;0;nan;nan;0 
D03805;0;0;nan;nan;0 
D03806;0;0;nan;nan;0 
D03807;0;0;nan;nan;0 
D03816;0;0;nan;nan;0 
D03822;0;0;nan;nan;0 
D03823;0;0;nan;nan;0 
D03826;0;0;nan;nan;0 
D03828;1;1;1.000000;1.000000;1 
D03829;0;0;nan;nan;0 
D03845;0;0;nan;nan;0 
D03882;0;0;nan;nan;0 
D03899;0;0;nan;nan;0 
D04023;0;0;nan;nan;0 
D04024;0;0;nan;nan;0 
D04025;0;0;nan;nan;0 
D04028;1;9;0.117523;0.111111;9 
D04029;0;0;nan;nan;0 
D04031;0;0;nan;nan;0 
D04092;0;0;nan;nan;0 
D04197;0;0;nan;nan;0 
D04292;1;1;1.000000;1.000000;1 
D04966;0;6;0.000000;0.000000;6 
D04983;0;1;0.000000;0.000000;1 
D05341;0;0;nan;nan;0 
D05353;1;1;0.430677;1.000000;1 
D05407;0;0;nan;nan;0 
D05458;1;1;1.000000;1.000000;1 
D06238;0;0;nan;nan;0 
