drug;hits;possible_hits;ndcg;recall;total_known_targets
D04034;0;1;0.000000;0.000000;1 
D04048;0;0;nan;nan;0 
D04370;1;4;0.151020;0.250000;4 
D04790;0;0;nan;nan;0 
D04985;6;10;0.659480;0.428571;14 
D04999;1;1;0.500000;1.000000;1 
D05024;3;5;0.514771;0.600000;5 
D05077;6;6;0.918189;1.000000;6 
D05156;1;1;1.000000;1.000000;1 
D05453;0;5;0.000000;0.000000;5 
D05458;1;1;0.500000;1.000000;1 
D05461;0;0;nan;nan;0 
D06106;7;10;0.778807;0.466667;15 
D06172;6;6;0.970544;1.000000;6 
