"drug";"target"
"D00882";"hsa:81033"
"D00544";"hsa:2561"
"D02253";"hsa:2903"
"D00332";"hsa:2905"
"D00816";"hsa:3362"
"D00633";"hsa:6530"
"D00228";"hsa:2554"
"D00228";"hsa:2554"
"D03742";"hsa:4986"
"D00443";"hsa:5241"
"D00195";"hsa:4986"
"D00740";"hsa:3781"
"D00678";"hsa:3351"
"D00106";"hsa:5740"
"D02234";"hsa:3269"
"D00546";"hsa:2563"
"D03274";"hsa:59340"
"D00283";"hsa:1132"
"D00327";"hsa:2908"
"D03180";"hsa:2567"
"D02253";"hsa:2904"
"D04023";"hsa:8856"
"D00270";"hsa:3350"
"D00633";"hsa:6531"
"D00812";"hsa:6530"
"D00228";"hsa:2555"
"D02207";"hsa:3359"
"D00903";"hsa:5320"
"D03742";"hsa:4985"
"D00416";"hsa:27345"
"D00195";"hsa:4985"
"D00377";"hsa:1147"
"D00904";"hsa:3785"
"D02360";"hsa:6531"
"D00631";"hsa:773"
"D00456";"hsa:3360"
"D00546";"hsa:2564"
"D00416";"hsa:3781"
"D00283";"hsa:1131"
"D00544";"hsa:2560"
"D00816";"hsa:3350"
"D00373";"hsa:3757"
"D00563";"hsa:147"
"D00563";"hsa:1812"
"D00882";"hsa:90134"
"D03415";"hsa:150"
"D00528";"hsa:50940"
"D00228";"hsa:2556"
"D00740";"hsa:1135"
"D00228";"hsa:55879"
"D00126";"hsa:5327"
"D00537";"hsa:55879"
"D00186";"hsa:3757"
"D03180";"hsa:2566"
"D00499";"hsa:116443"
"D00544";"hsa:2559"
"D00780";"hsa:1814"
"D00426";"hsa:1815"
"D01453";"hsa:27115"
"D00443";"hsa:2908"
"D00270";"hsa:3269"
"D00498";"hsa:4986"
"D00711";"hsa:6530"
"D00474";"hsa:1137"
"D00454";"hsa:2559"
"D00904";"hsa:240"
"D00283";"hsa:1133"
"D00809";"hsa:3751"
"D00809";"hsa:153"
"D00544";"hsa:2558"
"D00499";"hsa:116444"
"D00480";"hsa:1129"
"D03180";"hsa:2564"
"D00615";"hsa:6609"
"D04292";"hsa:8973"
"D00546";"hsa:2555"
"D00443";"hsa:55799"
"D02340";"hsa:3274"
"D00790";"hsa:3356"
"D02566";"hsa:152"
"D00426";"hsa:1814"
"D03180";"hsa:55879"
"D00437";"hsa:3736"
"D00903";"hsa:3786"
"D02349";"hsa:590"
"D00454";"hsa:2558"
"D03274";"hsa:3350"
"D02173";"hsa:590"
"D00780";"hsa:1812"
"D03654";"hsa:1128"
"D00544";"hsa:2557"
"D03180";"hsa:2563"
"D01712";"hsa:136"
"D00480";"hsa:1131"
"D03165";"hsa:151"
"D02340";"hsa:3269"
"D00674";"hsa:3350"
"D01390";"hsa:5594"
"D02340";"hsa:148"
"D00543";"hsa:3783"
"D02340";"hsa:147"
"D00474";"hsa:1139"
"D02253";"hsa:2560"
"D00480";"hsa:3356"
"D00443";"hsa:786"
"D00325";"hsa:2908"
"D00636";"hsa:3757"
"D00544";"hsa:2556"
"D03180";"hsa:2562"
"D00480";"hsa:1132"
"D00987";"hsa:148"
"D00563";"hsa:1816"
"D00709";"hsa:774"
"D00809";"hsa:154"
"D00535";"hsa:2550"
"D03165";"hsa:152"
"D00540";"hsa:1131"
"D00454";"hsa:2560"
"D00544";"hsa:2555"
"D00351";"hsa:1588"
"D00904";"hsa:3786"
"D03180";"hsa:2561"
"D00546";"hsa:2558"
"D00480";"hsa:1133"
"D02340";"hsa:3350"
"D00563";"hsa:1813"
"D00616";"hsa:786"
"D00332";"hsa:2902"
"D00619";"hsa:773"
"D04034";"hsa:1128"
"D01462";"hsa:150"
"D02253";"hsa:2561"
"D00454";"hsa:2555"
"D00351";"hsa:1589"
"D00525";"hsa:1129"
"D00704";"hsa:2567"
"D03654";"hsa:1129"
"D01164";"hsa:150"
"D00546";"hsa:2559"
"D00294";"hsa:476"
"D03180";"hsa:1137"
"D00426";"hsa:3358"
"D00563";"hsa:1814"
"D02356";"hsa:6532"
"D01599";"hsa:6833"
"D00132";"hsa:3577"
"D02253";"hsa:2562"
"D00255";"hsa:152"
"D00454";"hsa:2554"
"D03654";"hsa:1133"
"D03415";"hsa:152"
"D00617";"hsa:146"
"D00987";"hsa:147"
"D00391";"hsa:7298"
"D00546";"hsa:2556"
"D00079";"hsa:5731"
"D04034";"hsa:1131"
"D01332";"hsa:5142"
"D00270";"hsa:146"
"D00506";"hsa:1137"
"D00332";"hsa:2904"
"D00559";"hsa:1813"
"D01370";"hsa:5422"
"D00456";"hsa:3351"
"D04034";"hsa:3356"
"D04034";"hsa:3356"
"D02147";"hsa:153"
"D00454";"hsa:3359"
"D01453";"hsa:3708"
"D00454";"hsa:2557"
"D04999";"hsa:6532"
"D03654";"hsa:1132"
"D00546";"hsa:2557"
"D00079";"hsa:5732"
"D01332";"hsa:5141"
"D00416";"hsa:3778"
"D00559";"hsa:1812"
"D00499";"hsa:1139"
"D01370";"hsa:6241"
"D04034";"hsa:3357"
"D00443";"hsa:773"
"D00454";"hsa:2556"
"D02253";"hsa:116443"
"D04006";"hsa:140"
"D00525";"hsa:1131"
"D00694";"hsa:55879"
"D00480";"hsa:1128"
"D00270";"hsa:6609"
"D00559";"hsa:3351"
"D02253";"hsa:116444"
"D00812";"hsa:6609"
"D00798";"hsa:3356"
"D00474";"hsa:2567"
"D00542";"hsa:6010"
"D00740";"hsa:3782"
"D05938";"hsa:4985"
"D02769";"hsa:5142"
"D00270";"hsa:3362"
"D02349";"hsa:154"
"D00319";"hsa:5136"
"D04292";"hsa:1134"
"D03415";"hsa:151"
"D00332";"hsa:2903"
"D00554";"hsa:8856"
"D01122";"hsa:1080"
"D00780";"hsa:150"
"D02340";"hsa:1132"
"D01111";"hsa:5468"
"D00095";"hsa:147"
"D00416";"hsa:3782"
"D00326";"hsa:6532"
"D00454";"hsa:2566"
"D00443";"hsa:9254"
"D00270";"hsa:3363"
"D00690";"hsa:2908"
"D04292";"hsa:1135"
"D00780";"hsa:3363"
"D04006";"hsa:135"
"D00014";"hsa:2876"
"D02341";"hsa:3786"
"D02340";"hsa:1131"
"D00619";"hsa:3757"
"D00538";"hsa:11280"
"D01071";"hsa:2555"
"D02769";"hsa:5144"
"D00704";"hsa:2561"
"D00394";"hsa:1813"
"D00619";"hsa:8913"
"D00228";"hsa:1132"
"D01453";"hsa:10846"
"D00538";"hsa:6326"
"D00790";"hsa:1814"
"D06106";"hsa:3764"
"D00559";"hsa:1816"
"D00448";"hsa:5743"
"D00066";"hsa:1586"
"D05938";"hsa:4986"
"D00694";"hsa:2567"
"D00394";"hsa:1816"
"D02358";"hsa:154"
"D00704";"hsa:2562"
"D00617";"hsa:5136"
"D00454";"hsa:2567"
"D00228";"hsa:1131"
"D00066";"hsa:4986"
"D04006";"hsa:134"
"D02261";"hsa:3783"
"D00542";"hsa:3760"
"D00474";"hsa:2891"
"D02914";"hsa:55799"
"D00559";"hsa:3356"
"D00506";"hsa:1139"
"D00604";"hsa:147"
"D00559";"hsa:1815"
"D02340";"hsa:1133"
"D00809";"hsa:1133"
"D00018";"hsa:1621"
"D00095";"hsa:152"
"D00704";"hsa:2560"
"D00303";"hsa:1131"
"D00454";"hsa:2562"
"D00228";"hsa:1129"
"D00351";"hsa:367"
"D00270";"hsa:3357"
"D00715";"hsa:1129"
"D00678";"hsa:4988"
"D00604";"hsa:148"
"D02340";"hsa:1812"
"D02340";"hsa:1812"
"D01448";"hsa:1813"
"D00563";"hsa:11255"
"D00506";"hsa:2902"
"D03415";"hsa:148"
"D00454";"hsa:2561"
"D00448";"hsa:5468"
"D00732";"hsa:3359"
"D00228";"hsa:1128"
"D00228";"hsa:1128"
"D00110";"hsa:1128"
"D00642";"hsa:3757"
"D00270";"hsa:3358"
"D00270";"hsa:3358"
"D00543";"hsa:2555"
"D00715";"hsa:1131"
"D00780";"hsa:3358"
"D00358";"hsa:1956"
"D00443";"hsa:775"
"D06106";"hsa:3767"
"D02017";"hsa:134"
"D02017";"hsa:134"
"D02340";"hsa:3359"
"D00506";"hsa:2906"
"D00454";"hsa:2564"
"D00613";"hsa:147"
"D00694";"hsa:2562"
"D00798";"hsa:1813"
"D00169";"hsa:240"
"D00904";"hsa:6329"
"D00704";"hsa:2566"
"D00110";"hsa:1129"
"D00543";"hsa:2556"
"D00619";"hsa:8911"
"D00559";"hsa:3352"
"D00270";"hsa:152"
"D00480";"hsa:148"
"D02357";"hsa:3363"
"D00416";"hsa:3757"
"D00613";"hsa:148"
"D02362";"hsa:1128"
"D00619";"hsa:774"
"D00704";"hsa:55879"
"D02349";"hsa:148"
"D00454";"hsa:2563"
"D00694";"hsa:2563"
"D02721";"hsa:5327"
"D03165";"hsa:146"
"D00780";"hsa:3356"
"D00543";"hsa:2557"
"D02341";"hsa:3785"
"D00816";"hsa:150"
"D02253";"hsa:55879"
"D00631";"hsa:476"
"D00809";"hsa:146"
"D01064";"hsa:2356"
"D03742";"hsa:1136"
"D02253";"hsa:1137"
"D02253";"hsa:2891"
"D01565";"hsa:5320"
"D00506";"hsa:2905"
"D00387";"hsa:2564"
"D00387";"hsa:2564"
"D03415";"hsa:147"
"D00694";"hsa:2564"
"D00704";"hsa:2563"
"D00593";"hsa:6833"
"D00609";"hsa:90134"
"D00543";"hsa:2558"
"D02017";"hsa:135"
"D02017";"hsa:135"
"D00474";"hsa:2898"
"D00780";"hsa:3357"
"D00740";"hsa:3779"
"D00749";"hsa:2185"
"D02262";"hsa:3783"
"D00619";"hsa:778"
"D02340";"hsa:1816"
"D02340";"hsa:1816"
"D02340";"hsa:3351"
"D03742";"hsa:1137"
"D02362";"hsa:1131"
"D05458";"hsa:6532"
"D00790";"hsa:1131"
"D00387";"hsa:2566"
"D00387";"hsa:2566"
"D00546";"hsa:2567"
"D00812";"hsa:153"
"D00798";"hsa:1812"
"D00711";"hsa:1129"
"D00694";"hsa:2566"
"D00228";"hsa:1133"
"D00704";"hsa:2564"
"D00538";"hsa:4128"
"D00543";"hsa:2559"
"D02017";"hsa:136"
"D00559";"hsa:3358"
