"target";"drug"
"hsa:2561";"D02253"
"hsa:3350";"D02357"
"hsa:1813";"D02163"
"hsa:3360";"D02092"
"hsa:1814";"D00633"
"hsa:153";"D00640"
"hsa:6326";"D05077"
"hsa:1132";"D01118"
"hsa:26279";"D04028"
"hsa:2561";"D00387"
"hsa:136";"D01453"
"hsa:1813";"D00799"
"hsa:776";"D00616"
"hsa:1815";"D00059"
"hsa:3358";"D02357"
"hsa:5141";"D01453"
"hsa:5739";"D00106"
"hsa:1813";"D02729"
"hsa:1133";"D01103"
"hsa:5150";"D01453"
"hsa:8911";"D00553"
"hsa:763";"D02441"
"hsa:1128";"D04034"
"hsa:3767";"D00336"
"hsa:4986";"D05113"
"hsa:2566";"D01071"
"hsa:1813";"D01448"
"hsa:3760";"D00636"
"hsa:140";"D00045"
"hsa:2558";"D00506"
"hsa:6328";"D05077"
"hsa:2555";"D01253"
"hsa:3752";"D00638"
"hsa:140";"D02769"
"hsa:5140";"D01453"
"hsa:6532";"D00326"
"hsa:1129";"D03274"
"hsa:6334";"D00538"
"hsa:2561";"D01253"
"hsa:55879";"D00697"
"hsa:1813";"D00426"
"hsa:1132";"D00524"
"hsa:152";"D00514"
"hsa:6326";"D00512"
"hsa:6328";"D06172"
"hsa:8399";"D04028"
"hsa:6326";"D00533"
"hsa:6334";"D00733"
"hsa:3757";"D00631"
"hsa:154";"D04625"
"hsa:150";"D01386"
"hsa:55879";"D00694"
"hsa:3357";"D01358"
"hsa:152";"D01386"
"hsa:150";"D00095"
"hsa:1131";"D00270"
"hsa:8399";"D02341"
"hsa:1816";"D00059"
"hsa:2556";"D01253"
"hsa:2561";"D00506"
"hsa:778";"D01969"
"hsa:778";"D00537"
"hsa:148";"D03415"
"hsa:2562";"D06106"
"hsa:2561";"D00694"
"hsa:5150";"D00528"
"hsa:1133";"D00779"
"hsa:3760";"D00631"
"hsa:2556";"D00694"
"hsa:6336";"D00553"
"hsa:5737";"D00682"
"hsa:5319";"D02341"
"hsa:6335";"D00538"
"hsa:170572";"D04370"
"hsa:1134";"D00759"
"hsa:1812";"D00633"
"hsa:5562";"D04966"
"hsa:5319";"D04028"
"hsa:2561";"D01071"
"hsa:2557";"D00464"
"hsa:1140";"D02207"
"hsa:2561";"D00697"
"hsa:1133";"D01118"
"hsa:2556";"D00697"
"hsa:2898";"D00537"
"hsa:146";"D00636"
"hsa:1131";"D00779"
"hsa:6335";"D00733"
"hsa:2566";"D00464"
"hsa:2561";"D00464"
"hsa:2902";"D05453"
"hsa:6532";"D00812"
"hsa:2557";"D01071"
"hsa:135";"D04006"
"hsa:2567";"D06106"
"hsa:285242";"D04370"
"hsa:1134";"D00760"
"hsa:2566";"D00697"
"hsa:6326";"D00110"
"hsa:150";"D01358"
"hsa:135";"D00045"
"hsa:6833";"D01599"
"hsa:151";"D00095"
"hsa:2567";"D00694"
"hsa:5916";"D00348"
"hsa:6833";"D01854"
"hsa:1144";"D00611"
"hsa:2556";"D00464"
"hsa:3757";"D00636"
"hsa:1815";"D00559"
"hsa:2566";"D00694"
"hsa:285242";"D00456"
"hsa:2099";"D00185"
"hsa:3752";"D00636"
"hsa:2567";"D00506"
"hsa:285242";"D06396"
"hsa:3355";"D01358"
"hsa:6833";"D01799"
"hsa:775";"D00631"
"hsa:1140";"D00611"
"hsa:2557";"D06106"
"hsa:152";"D00095"
"hsa:1128";"D03274"
"hsa:170572";"D06396"
"hsa:6323";"D05077"
"hsa:2566";"D02253"
"hsa:2100";"D00067"
"hsa:3269";"D04034"
"hsa:6833";"D00418"
"hsa:1131";"D00397"
"hsa:6323";"D06172"
"hsa:6323";"D00110"
"hsa:767";"D02441"
"hsa:2906";"D05453"
"hsa:3750";"D00730"
"hsa:50940";"D01453"
"hsa:6714";"D03252"
"hsa:2903";"D03742"
"hsa:2906";"D03742"
"hsa:1134";"D00765"
"hsa:6332";"D00553"
"hsa:2566";"D01253"
"hsa:9177";"D00563"
"hsa:6331";"D00538"
"hsa:5320";"D02341"
"hsa:135";"D02769"
"hsa:1129";"D00270"
"hsa:55879";"D06106"
"hsa:6334";"D00110"
"hsa:2557";"D00694"
"hsa:2563";"D00694"
"hsa:148";"D00636"
"hsa:6329";"D00537"
"hsa:6334";"D00303"
"hsa:2558";"D06106"
"hsa:2559";"D00506"
"hsa:2567";"D00464"
"hsa:152";"D00563"
"hsa:1814";"D00059"
"hsa:2892";"D00537"
"hsa:3354";"D01358"
"hsa:1813";"D01051"
"hsa:2557";"D00697"
"hsa:1131";"D00524"
"hsa:3757";"D00638"
"hsa:2564";"D00506"
"hsa:3767";"D00636"
"hsa:1131";"D01103"
"hsa:152";"D00270"
"hsa:3767";"D00294"
"hsa:1132";"D04034"
"hsa:6323";"D00553"
"hsa:2563";"D00697"
"hsa:6334";"D00552"
"hsa:2557";"D01253"
"hsa:151";"D01386"
"hsa:2563";"D01253"
"hsa:2567";"D01253"
"hsa:2558";"D00464"
"hsa:6532";"D00809"
"hsa:200909";"D00456"
"hsa:760";"D02441"
"hsa:2564";"D00387"
"hsa:147";"D02349"
"hsa:1132";"D03274"
"hsa:26279";"D00169"
"hsa:6833";"D01111"
"hsa:23632";"D02441"
"hsa:1131";"D01269"
"hsa:2555";"D00387"
"hsa:6328";"D00110"
"hsa:5915";"D00348"
"hsa:5144";"D01453"
"hsa:5138";"D01453"
"hsa:146";"D00560"
"hsa:2563";"D02253"
"hsa:200909";"D00563"
"hsa:2567";"D02253"
"hsa:9177";"D04370"
"hsa:771";"D02441"
"hsa:1145";"D00611"
"hsa:153";"D02349"
"hsa:2558";"D00697"
"hsa:2558";"D00694"
"hsa:776";"D00631"
"hsa:136";"D02769"
"hsa:2567";"D00697"
"hsa:3352";"D01358"
"hsa:2557";"D00387"
"hsa:6755";"D00442"
"hsa:151";"D01358"
"hsa:1131";"D00646"
"hsa:3752";"D00730"
"hsa:2902";"D03742"
"hsa:6335";"D00552"
"hsa:776";"D00537"
"hsa:170572";"D00726"
"hsa:5322";"D04028"
"hsa:766";"D02441"
"hsa:5320";"D04028"
"hsa:779";"D00438"
"hsa:9177";"D00456"
"hsa:30814";"D00169"
"hsa:2559";"D00697"
"hsa:6335";"D00303"
"hsa:1144";"D02207"
"hsa:2560";"D00506"
"hsa:2558";"D01253"
"hsa:2563";"D00464"
"hsa:152";"D01358"
"hsa:6334";"D00512"
"hsa:3757";"D00110"
"hsa:1131";"D00715"
"hsa:2562";"D00464"
"hsa:2555";"D01071"
"hsa:1133";"D04034"
"hsa:1813";"D00559"
